USDCAD Curncy,,,S&P 500 Total Return Index,,,S&P/TSX Composite Total Return Index,,,USGG2YR Index,,,USGG12M Index,,,GCAN2YR Index,,,GCAN12M Index,,,CL1 Comdty,,,Spread of Canadian and US 2 Year Rates,,,Spread of Canadian and US 1 Year Rates,1.2659,,XAU Curncy,,,HG1 Comdty,,,US0003M Index,,,GCAN3M Index,,,DXY Curncy,,,DXY Curncy,,,EURUSD Curncy,,,USDJPY Curncy,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
12/31/2008,1.22,,12/31/2008,"1,452.9760",,12/31/2008,"22,967.9800",,12/31/2008,0.7643,,12/31/2008,0.3405,,12/31/2008,1.0950,,12/31/2008,0.8950,,12/31/2008,44.6000,,12/31/2008,-0.3307,,12/31/2008,-0.5545,,12/31/2008,882.05,,12/31/2008,141,,12/31/2008,1.425,,12/31/2008,0.884,,12/31/2008,81.308,,12/31/2008,81.308,,12/31/2008,1.3971,,12/31/2008,90.64
1/1/2009,1.22,,1/1/2009,"1,452.9760",,1/1/2009,"22,967.9800",,1/1/2009,0.7638,,1/1/2009,0.3405,,1/1/2009,1.0930,,1/1/2009,0.9170,,1/1/2009,44.6000,,1/1/2009,-0.3292,,1/1/2009,-0.5765,,1/1/2009,881.45,,1/2/2009,146.1,,1/2/2009,1.4125,,1/1/2009,0.92,,1/2/2009,81.839,,1/2/2009,81.839,,1/1/2009,1/1/1900,,1/1/2009,90.75
1/2/2009,1.21,,1/2/2009,"1,499.1660",,1/2/2009,"23,622.2800",,1/2/2009,0.8194,,1/2/2009,0.3741,,1/2/2009,1.1550,,1/2/2009,0.9090,,1/2/2009,46.3400,,1/2/2009,-0.3356,,1/2/2009,-0.5349,,1/2/2009,875.4,,1/5/2009,145.9,,1/5/2009,1.42125,,1/2/2009,0.876,,1/5/2009,82.637,,1/5/2009,82.637,,1/2/2009,1/1/1900,,1/2/2009,91.84
1/5/2009,1.19,,1/5/2009,"1,492.2070",,1/5/2009,"23,753.8000",,1/5/2009,0.7636,,1/5/2009,0.4067,,1/5/2009,1.1590,,1/5/2009,0.9130,,1/5/2009,48.8100,,1/5/2009,-0.3954,,1/5/2009,-0.5063,,1/5/2009,859.48,,1/6/2009,158.3,,1/6/2009,1.41125,,1/5/2009,0.895,,1/6/2009,82.85,,1/6/2009,82.85,,1/5/2009,1/1/1900,,1/5/2009,93.44
1/6/2009,1.18,,1/6/2009,"1,503.8660",,1/6/2009,"24,231.1000",,1/6/2009,0.7635,,1/6/2009,0.4118,,1/6/2009,1.1530,,1/6/2009,1.0040,,1/6/2009,48.5800,,1/6/2009,-0.3895,,1/6/2009,-0.5922,,1/6/2009,863.9,,1/7/2009,151.15,,1/7/2009,1.3975,,1/6/2009,0.923,,1/7/2009,82.275,,1/7/2009,82.275,,1/6/2009,1/1/1900,,1/6/2009,93.65
1/7/2009,1.19,,1/7/2009,"1,459.5780",,1/7/2009,"23,334.5200",,1/7/2009,0.8111,,1/7/2009,0.4047,,1/7/2009,1.1470,,1/7/2009,0.9710,,1/7/2009,42.6300,,1/7/2009,-0.3359,,1/7/2009,-0.5663,,1/7/2009,842.98,,1/8/2009,147.9,,1/8/2009,1.35375,,1/7/2009,0.929,,1/8/2009,81.536,,1/8/2009,81.536,,1/7/2009,1/1/1900,,1/7/2009,92.65
1/8/2009,1.18,,1/8/2009,"1,464.6010",,1/8/2009,"23,591.0100",,1/8/2009,0.8270,,1/8/2009,0.4169,,1/8/2009,1.1490,,1/8/2009,0.9020,,1/8/2009,41.7000,,1/8/2009,-0.3220,,1/8/2009,-0.4851,,1/8/2009,857.4,,1/9/2009,155.95,,1/9/2009,1.26,,1/8/2009,0.855,,1/9/2009,82.663,,1/9/2009,82.663,,1/8/2009,1/1/1900,,1/8/2009,91.21
1/9/2009,1.19,,1/9/2009,"1,433.4120",,1/9/2009,"23,242.0800",,1/9/2009,0.7467,,1/9/2009,0.4016,,1/9/2009,1.1000,,1/9/2009,0.8460,,1/9/2009,40.8300,,1/9/2009,-0.3533,,1/9/2009,-0.4444,,1/9/2009,854.2,,1/12/2009,148.85,,1/12/2009,1.16,,1/9/2009,0.843,,1/12/2009,83.019,,1/12/2009,83.019,,1/9/2009,1/1/1900,,1/9/2009,90.4
1/12/2009,1.22,,1/12/2009,"1,401.0690",,1/12/2009,"22,495.4600",,1/12/2009,0.7385,,1/12/2009,0.3965,,1/12/2009,1.0370,,1/12/2009,0.8410,,1/12/2009,37.5900,,1/12/2009,-0.2985,,1/12/2009,-0.4445,,1/12/2009,821,,1/13/2009,154.7,,1/13/2009,1.09438,,1/12/2009,0.818,,1/13/2009,84.265,,1/13/2009,84.265,,1/12/2009,1/1/1900,,1/12/2009,89.22
1/13/2009,1.22,,1/13/2009,"1,403.6270",,1/13/2009,"22,927.2100",,1/13/2009,0.7383,,1/13/2009,0.3894,,1/13/2009,1.0260,,1/13/2009,0.8440,,1/13/2009,37.7800,,1/13/2009,-0.2877,,1/13/2009,-0.4546,,1/13/2009,822,,1/14/2009,148.75,,1/14/2009,1.0825,,1/13/2009,0.801,,1/14/2009,84.419,,1/14/2009,84.419,,1/13/2009,1/1/1900,,1/13/2009,89.38
1/14/2009,1.25,,1/14/2009,"1,356.7890",,1/14/2009,"22,229.1800",,1/14/2009,0.7060,,1/14/2009,0.4119,,1/14/2009,0.9420,,1/14/2009,0.7810,,1/14/2009,37.2800,,1/14/2009,-0.2360,,1/14/2009,-0.3691,,1/14/2009,811.7,,1/15/2009,145.35,,1/15/2009,1.08563,,1/14/2009,0.739,,1/15/2009,84.44,,1/15/2009,84.44,,1/14/2009,1/1/1900,,1/14/2009,89.05
1/15/2009,1.25,,1/15/2009,"1,358.6400",,1/15/2009,"22,719.1000",,1/15/2009,0.7138,,1/15/2009,0.4068,,1/15/2009,0.9640,,1/15/2009,0.7630,,1/15/2009,35.4000,,1/15/2009,-0.2502,,1/15/2009,-0.3562,,1/15/2009,817.8,,1/16/2009,152.75,,1/16/2009,1.1425,,1/15/2009,0.729,,1/16/2009,84.212,,1/16/2009,84.212,,1/15/2009,1/1/1900,,1/15/2009,89.84
1/16/2009,1.24,,1/16/2009,"1,368.9190",,1/16/2009,"22,828.5600",,1/16/2009,0.7210,,1/16/2009,0.4170,,1/16/2009,0.9660,,1/16/2009,0.7880,,1/16/2009,36.5100,,1/16/2009,-0.2450,,1/16/2009,-0.3710,,1/16/2009,843.15,,1/20/2009,150.45,,1/19/2009,1.1325,,1/16/2009,0.723,,1/19/2009,84.722,,1/19/2009,84.722,,1/16/2009,1/1/1900,,1/16/2009,90.72
1/19/2009,1.25,,1/19/2009,"1,368.9190",,1/19/2009,"22,626.6000",,1/19/2009,0.7207,,1/19/2009,0.4476,,1/19/2009,1.0000,,1/19/2009,0.7990,,1/19/2009,36.5100,,1/19/2009,-0.2793,,1/19/2009,-0.3514,,1/19/2009,835.9,,1/21/2009,143.35,,1/20/2009,1.1225,,1/19/2009,0.747,,1/20/2009,86.216,,1/20/2009,86.216,,1/19/2009,1/1/1900,,1/19/2009,90.65
1/20/2009,1.27,,1/20/2009,"1,296.6330",,1/20/2009,"21,765.5700",,1/20/2009,0.7045,,1/20/2009,0.4047,,1/20/2009,1.0280,,1/20/2009,0.9390,,1/20/2009,38.7400,,1/20/2009,-0.3235,,1/20/2009,-0.5343,,1/20/2009,857.33,,1/22/2009,139.6,,1/21/2009,1.125,,1/20/2009,0.853,,1/21/2009,85.817,,1/21/2009,85.817,,1/20/2009,1/1/1900,,1/20/2009,89.76
1/21/2009,1.26,,1/21/2009,"1,353.3280",,1/21/2009,"22,414.7600",,1/21/2009,0.7692,,1/21/2009,0.4251,,1/21/2009,1.0800,,1/21/2009,0.9170,,1/21/2009,43.5500,,1/21/2009,-0.3108,,1/21/2009,-0.4919,,1/21/2009,854.2,,1/23/2009,147.2,,1/22/2009,1.15938,,1/21/2009,0.883,,1/22/2009,85.52,,1/22/2009,85.52,,1/21/2009,1/1/1900,,1/21/2009,89.49
1/22/2009,1.25,,1/22/2009,"1,332.8400",,1/22/2009,"21,737.7000",,1/22/2009,0.7203,,1/22/2009,0.3966,,1/22/2009,1.1430,,1/22/2009,0.9460,,1/22/2009,43.6700,,1/22/2009,-0.4227,,1/22/2009,-0.5494,,1/22/2009,856.98,,1/26/2009,158.65,,1/23/2009,1.16938,,1/22/2009,0.862,,1/23/2009,85.608,,1/23/2009,85.608,,1/22/2009,1/1/1900,,1/22/2009,88.92
1/23/2009,1.23,,1/23/2009,"1,340.0180",,1/23/2009,"22,100.0000",,1/23/2009,0.8095,,1/23/2009,0.4251,,1/23/2009,1.2420,,1/23/2009,0.9530,,1/23/2009,46.4700,,1/23/2009,-0.4325,,1/23/2009,-0.5279,,1/23/2009,899.78,,1/27/2009,148.45,,1/26/2009,1.18375,,1/23/2009,0.841,,1/26/2009,84.727,,1/26/2009,84.727,,1/23/2009,1/1/1900,,1/23/2009,88.75
1/26/2009,1.22,,1/26/2009,"1,347.4680",,1/26/2009,"22,173.0900",,1/26/2009,0.8258,,1/26/2009,0.4455,,1/26/2009,1.3030,,1/26/2009,0.9960,,1/26/2009,45.7300,,1/26/2009,-0.4772,,1/26/2009,-0.5505,,1/26/2009,903.37,,1/28/2009,149.6,,1/27/2009,1.18438,,1/26/2009,0.834,,1/27/2009,84.426,,1/27/2009,84.426,,1/26/2009,1/1/1900,,1/26/2009,89.1
1/27/2009,1.23,,1/27/2009,"1,362.1840",,1/27/2009,"22,437.2200",,1/27/2009,0.8011,,1/27/2009,0.4476,,1/27/2009,1.3140,,1/27/2009,0.9940,,1/27/2009,41.5800,,1/27/2009,-0.5129,,1/27/2009,-0.5464,,1/27/2009,899.15,,1/29/2009,145.75,,1/28/2009,1.17438,,1/27/2009,0.849,,1/28/2009,84.672,,1/28/2009,84.672,,1/27/2009,1/1/1900,,1/27/2009,88.98
1/28/2009,1.21,,1/28/2009,"1,408.0720",,1/28/2009,"22,827.8000",,1/28/2009,0.8988,,1/28/2009,0.4680,,1/28/2009,1.3730,,1/28/2009,1.0070,,1/28/2009,42.1600,,1/28/2009,-0.4742,,1/28/2009,-0.5390,,1/28/2009,887.47,,1/30/2009,146.85,,1/29/2009,1.17,,1/28/2009,0.858,,1/29/2009,85.277,,1/29/2009,85.277,,1/28/2009,1/1/1900,,1/28/2009,90.27
1/29/2009,1.23,,1/29/2009,"1,361.5350",,1/29/2009,"22,461.8100",,1/29/2009,0.9543,,1/29/2009,0.4782,,1/29/2009,1.3960,,1/29/2009,1.0270,,1/29/2009,41.4400,,1/29/2009,-0.4417,,1/29/2009,-0.5488,,1/29/2009,908.65,,2/2/2009,143.1,,1/30/2009,1.18438,,1/29/2009,0.87,,1/30/2009,85.999,,1/30/2009,85.999,,1/29/2009,1/1/1900,,1/29/2009,90.03
1/30/2009,1.23,,1/30/2009,"1,330.5100",,1/30/2009,"22,287.8800",,1/30/2009,0.9463,,1/30/2009,0.4730,,1/30/2009,1.4100,,1/30/2009,1.0740,,1/30/2009,41.6800,,1/30/2009,-0.4637,,1/30/2009,-0.6010,,1/30/2009,927.85,,2/3/2009,152.2,,2/2/2009,1.225,,1/30/2009,0.864,,2/2/2009,86.073,,2/2/2009,86.073,,1/30/2009,1/1/1900,,1/30/2009,89.92
2/2/2009,1.24,,2/2/2009,"1,329.8130",,2/2/2009,"22,108.2600",,2/2/2009,0.8909,,2/2/2009,0.4863,,2/2/2009,1.3410,,2/2/2009,1.0350,,2/2/2009,40.0800,,2/2/2009,-0.4501,,2/2/2009,-0.5487,,2/2/2009,905,,2/4/2009,153.1,,2/3/2009,1.23375,,2/2/2009,0.88,,2/3/2009,85.05,,2/3/2009,85.05,,2/2/2009,1/1/1900,,2/2/2009,89.45
2/3/2009,1.23,,2/3/2009,"1,350.8850",,2/3/2009,"22,117.9900",,2/3/2009,0.9624,,2/3/2009,0.5190,,2/3/2009,1.3340,,2/3/2009,1.0150,,2/3/2009,40.7800,,2/3/2009,-0.3716,,2/3/2009,-0.4960,,2/3/2009,900.35,,2/5/2009,150,,2/4/2009,1.23563,,2/3/2009,0.966,,2/4/2009,85.702,,2/4/2009,85.702,,2/3/2009,1/1/1900,,2/3/2009,89.44
2/4/2009,1.23,,2/4/2009,"1,341.7650",,2/4/2009,"22,294.0000",,2/4/2009,0.9785,,2/4/2009,0.4914,,2/4/2009,1.3360,,2/4/2009,1.0160,,2/4/2009,40.3200,,2/4/2009,-0.3575,,2/4/2009,-0.5246,,2/4/2009,905.85,,2/6/2009,162.85,,2/5/2009,1.24125,,2/4/2009,0.98,,2/5/2009,86.057,,2/5/2009,86.057,,2/4/2009,1/1/1900,,2/4/2009,89.43
2/5/2009,1.23,,2/5/2009,"1,363.8160",,2/5/2009,"22,726.3300",,2/5/2009,0.9627,,2/5/2009,0.5088,,2/5/2009,1.2550,,2/5/2009,0.9820,,2/5/2009,41.1700,,2/5/2009,-0.2923,,2/5/2009,-0.4732,,2/5/2009,914.55,,2/9/2009,161.3,,2/6/2009,1.24125,,2/5/2009,0.956,,2/6/2009,85.346,,2/6/2009,85.346,,2/5/2009,1/1/1900,,2/5/2009,91.23
2/6/2009,1.22,,2/6/2009,"1,401.0610",,2/6/2009,"23,104.1700",,2/6/2009,0.9951,,2/6/2009,0.5241,,2/6/2009,1.1460,,2/6/2009,0.8820,,2/6/2009,40.1700,,2/6/2009,-0.1509,,2/6/2009,-0.3579,,2/6/2009,911.5,,2/10/2009,157.6,,2/9/2009,1.22813,,2/6/2009,0.844,,2/9/2009,84.792,,2/9/2009,84.792,,2/6/2009,1/1/1900,,2/6/2009,91.9
2/9/2009,1.22,,2/9/2009,"1,403.1940",,2/9/2009,"23,204.8500",,2/9/2009,1.0113,,2/9/2009,0.5506,,2/9/2009,1.1810,,2/9/2009,0.8490,,2/9/2009,39.5600,,2/9/2009,-0.1697,,2/9/2009,-0.2984,,2/9/2009,894.5,,2/11/2009,154,,2/10/2009,1.22188,,2/9/2009,0.861,,2/10/2009,85.807,,2/10/2009,85.807,,2/9/2009,1/1/1900,,2/9/2009,91.47
2/10/2009,1.24,,2/10/2009,"1,334.3030",,2/10/2009,"22,616.8500",,2/10/2009,0.8910,,2/10/2009,0.5138,,2/10/2009,1.1730,,2/10/2009,0.8530,,2/10/2009,37.5500,,2/10/2009,-0.2820,,2/10/2009,-0.3392,,2/10/2009,915.4,,2/12/2009,153.45,,2/11/2009,1.23125,,2/10/2009,0.855,,2/11/2009,85.776,,2/11/2009,85.776,,2/10/2009,1/1/1900,,2/10/2009,90.47
2/11/2009,1.24,,2/11/2009,"1,345.5000",,2/11/2009,"22,417.2000",,2/11/2009,0.9151,,2/11/2009,0.6009,,2/11/2009,1.1730,,2/11/2009,0.8630,,2/11/2009,35.9400,,2/11/2009,-0.2579,,2/11/2009,-0.2621,,2/11/2009,938.85,,2/13/2009,153.85,,2/12/2009,1.23438,,2/11/2009,0.842,,2/12/2009,86.547,,2/12/2009,86.547,,2/11/2009,1/1/1900,,2/11/2009,90.4
2/12/2009,1.24,,2/12/2009,"1,348.1510",,2/12/2009,"22,522.0900",,2/12/2009,0.9071,,2/12/2009,0.5855,,2/12/2009,1.1510,,2/12/2009,0.8550,,2/12/2009,33.9800,,2/12/2009,-0.2439,,2/12/2009,-0.2695,,2/12/2009,946.75,,2/17/2009,142.3,,2/13/2009,1.2375,,2/12/2009,0.825,,2/13/2009,86.041,,2/13/2009,86.041,,2/12/2009,1/1/1900,,2/12/2009,90.94
2/13/2009,1.24,,2/13/2009,"1,334.8330",,2/13/2009,"22,263.8000",,2/13/2009,0.9640,,2/13/2009,0.6111,,2/13/2009,1.2060,,2/13/2009,0.8570,,2/13/2009,37.5100,,2/13/2009,-0.2420,,2/13/2009,-0.2459,,2/13/2009,941.7,,2/18/2009,143.6,,2/16/2009,1.24563,,2/13/2009,0.847,,2/16/2009,86.66,,2/16/2009,86.66,,2/13/2009,1/1/1900,,2/13/2009,91.93
2/16/2009,1.24,,2/16/2009,"1,334.8330",,2/16/2009,"22,263.8000",,2/16/2009,0.9560,,2/16/2009,0.6080,,2/16/2009,1.2000,,2/16/2009,0.8670,,2/16/2009,37.5100,,2/16/2009,-0.2440,,2/16/2009,-0.2590,,2/16/2009,941.75,,2/19/2009,147.1,,2/17/2009,1.24563,,2/16/2009,0.863,,2/17/2009,87.581,,2/17/2009,87.581,,2/16/2009,1/1/1900,,2/16/2009,91.73
2/17/2009,1.27,,2/17/2009,"1,274.2560",,2/17/2009,"21,495.7000",,2/17/2009,0.8588,,2/17/2009,0.5916,,2/17/2009,1.1780,,2/17/2009,0.8690,,2/17/2009,34.9300,,2/17/2009,-0.3192,,2/17/2009,-0.2774,,2/17/2009,970.25,,2/20/2009,141.6,,2/18/2009,1.25125,,2/17/2009,0.812,,2/18/2009,88.007,,2/18/2009,88.007,,2/17/2009,1/1/1900,,2/17/2009,92.41
2/18/2009,1.26,,2/18/2009,"1,273.2940",,2/18/2009,"20,975.7500",,2/18/2009,0.9480,,2/18/2009,0.6285,,2/18/2009,1.2580,,2/18/2009,0.8650,,2/18/2009,34.6200,,2/18/2009,-0.3100,,2/18/2009,-0.2365,,2/18/2009,984.55,,2/23/2009,143.7,,2/19/2009,1.25063,,2/18/2009,0.802,,2/19/2009,87.439,,2/19/2009,87.439,,2/18/2009,1/1/1900,,2/18/2009,93.79
2/19/2009,1.26,,2/19/2009,"1,258.8170",,2/19/2009,"21,000.7900",,2/19/2009,0.9806,,2/19/2009,0.6438,,2/19/2009,1.2620,,2/19/2009,0.8750,,2/19/2009,39.4800,,2/19/2009,-0.2814,,2/19/2009,-0.2312,,2/19/2009,974.7,,2/24/2009,148.7,,2/20/2009,1.24875,,2/19/2009,0.775,,2/20/2009,86.488,,2/20/2009,86.488,,2/19/2009,1/1/1900,,2/19/2009,94.2
2/20/2009,1.25,,2/20/2009,"1,244.7170",,2/20/2009,"20,398.5600",,2/20/2009,0.9402,,2/20/2009,0.6254,,2/20/2009,1.2310,,2/20/2009,0.8410,,2/20/2009,38.9400,,2/20/2009,-0.2908,,2/20/2009,-0.2156,,2/20/2009,992.9,,2/25/2009,152.45,,2/23/2009,1.24875,,2/20/2009,0.761,,2/23/2009,87.24,,2/23/2009,87.24,,2/20/2009,1/1/1900,,2/20/2009,93.35
2/23/2009,1.25,,2/23/2009,"1,201.5610",,2/23/2009,"19,638.2800",,2/23/2009,0.9321,,2/23/2009,0.6673,,2/23/2009,1.1780,,2/23/2009,0.8190,,2/23/2009,38.4400,,2/23/2009,-0.2459,,2/23/2009,-0.1517,,2/23/2009,991.65,,2/26/2009,156.5,,2/24/2009,1.25,,2/23/2009,0.781,,2/24/2009,86.895,,2/24/2009,86.895,,2/23/2009,1/1/1900,,2/23/2009,94.61
2/24/2009,1.24,,2/24/2009,"1,249.7600",,2/24/2009,"20,181.8100",,2/24/2009,0.9732,,2/24/2009,0.6908,,2/24/2009,1.1920,,2/24/2009,0.8050,,2/24/2009,39.9600,,2/24/2009,-0.2188,,2/24/2009,-0.1142,,2/24/2009,962.45,,2/27/2009,152.6,,2/25/2009,1.25625,,2/24/2009,0.771,,2/25/2009,87.906,,2/25/2009,87.906,,2/24/2009,1/1/1900,,2/24/2009,96.65
2/25/2009,1.26,,2/25/2009,"1,236.7420",,2/25/2009,"20,382.5100",,2/25/2009,1.0735,,2/25/2009,0.7185,,2/25/2009,1.2600,,2/25/2009,0.8200,,2/25/2009,42.5000,,2/25/2009,-0.1865,,2/25/2009,-0.1015,,2/25/2009,953.48,,3/2/2009,150.75,,2/26/2009,1.26125,,2/25/2009,0.75,,2/26/2009,87.727,,2/26/2009,87.727,,2/25/2009,1/1/1900,,2/25/2009,97.39
2/26/2009,1.25,,2/26/2009,"1,217.4910",,2/26/2009,"21,040.5800",,2/26/2009,1.0814,,2/26/2009,0.7031,,2/26/2009,1.2260,,2/26/2009,0.8250,,2/26/2009,45.2200,,2/26/2009,-0.1446,,2/26/2009,-0.1219,,2/26/2009,945.82,,3/3/2009,159.6,,2/27/2009,1.26438,,2/26/2009,0.753,,2/27/2009,88.008,,2/27/2009,88.008,,2/26/2009,1/1/1900,,2/26/2009,98.52
2/27/2009,1.28,,2/27/2009,"1,188.8400",,2/27/2009,"20,881.3300",,2/27/2009,0.9701,,2/27/2009,0.6806,,2/27/2009,1.1620,,2/27/2009,0.8010,,2/27/2009,44.7600,,2/27/2009,-0.1919,,2/27/2009,-0.1204,,2/27/2009,942.32,,3/4/2009,168.55,,3/2/2009,1.26625,,2/27/2009,0.696,,3/2/2009,88.94,,3/2/2009,88.94,,2/27/2009,1/1/1900,,2/27/2009,97.58
3/2/2009,1.29,,3/2/2009,"1,133.4310",,3/2/2009,"19,763.7500",,3/2/2009,0.8671,,3/2/2009,0.6417,,3/2/2009,1.0590,,3/2/2009,0.7410,,3/2/2009,40.1500,,3/2/2009,-0.1919,,3/2/2009,-0.0993,,3/2/2009,926,,3/5/2009,164.6,,3/3/2009,1.27125,,3/2/2009,0.552,,3/3/2009,88.91,,3/3/2009,88.91,,3/2/2009,1/1/1900,,3/2/2009,97.46
3/3/2009,1.29,,3/3/2009,"1,126.1760",,3/3/2009,"19,620.1500",,3/3/2009,0.8750,,3/3/2009,0.6396,,3/3/2009,0.9800,,3/3/2009,0.6890,,3/3/2009,41.6500,,3/3/2009,-0.1050,,3/3/2009,-0.0494,,3/3/2009,916.07,,3/6/2009,168.05,,3/4/2009,1.27663,,3/3/2009,0.462,,3/4/2009,88.577,,3/4/2009,88.577,,3/3/2009,1/1/1900,,3/3/2009,98.17
3/4/2009,1.27,,3/4/2009,"1,153.3490",,3/4/2009,"20,096.4300",,3/4/2009,0.9387,,3/4/2009,0.6621,,3/4/2009,0.9730,,3/4/2009,0.6590,,3/4/2009,45.3800,,3/4/2009,-0.0343,,3/4/2009,0.0031,,3/4/2009,906.5,,3/9/2009,162.95,,3/5/2009,1.28375,,3/4/2009,0.484,,3/5/2009,89.105,,3/5/2009,89.105,,3/4/2009,1/1/1900,,3/4/2009,99.16
3/5/2009,1.29,,3/5/2009,"1,104.3760",,3/5/2009,"19,620.5100",,3/5/2009,0.8829,,3/5/2009,0.6242,,3/5/2009,0.9330,,3/5/2009,0.6350,,3/5/2009,43.6100,,3/5/2009,-0.0501,,3/5/2009,-0.0108,,3/5/2009,932.4,,3/10/2009,167.45,,3/6/2009,1.2925,,3/5/2009,0.461,,3/6/2009,88.512,,3/6/2009,88.512,,3/5/2009,1/1/1900,,3/5/2009,98.07
3/6/2009,1.29,,3/6/2009,"1,105.9980",,3/6/2009,"19,529.4600",,3/6/2009,0.9470,,3/6/2009,0.6498,,3/6/2009,0.9550,,3/6/2009,0.6080,,3/6/2009,45.5200,,3/6/2009,-0.0080,,3/6/2009,0.0418,,3/6/2009,939.37,,3/11/2009,161.6,,3/9/2009,1.3125,,3/6/2009,0.448,,3/9/2009,89.009,,3/9/2009,89.009,,3/6/2009,1/1/1900,,3/6/2009,98.26
3/9/2009,1.30,,3/9/2009,"1,095.0360",,3/9/2009,"19,470.0400",,3/9/2009,0.9551,,3/9/2009,0.6703,,3/9/2009,0.9560,,3/9/2009,0.6020,,3/9/2009,47.0700,,3/9/2009,-0.0009,,3/9/2009,0.0683,,3/9/2009,922.35,,3/12/2009,161.75,,3/10/2009,1.33125,,3/9/2009,0.457,,3/10/2009,88.927,,3/10/2009,88.927,,3/9/2009,1/1/1900,,3/9/2009,98.85
3/10/2009,1.28,,3/10/2009,"1,164.8310",,3/10/2009,"20,277.6200",,3/10/2009,1.0276,,3/10/2009,0.6784,,3/10/2009,0.9850,,3/10/2009,0.6180,,3/10/2009,45.7100,,3/10/2009,0.0426,,3/10/2009,0.0604,,3/10/2009,898.15,,3/13/2009,165.85,,3/11/2009,1.32594,,3/10/2009,0.457,,3/11/2009,87.868,,3/11/2009,87.868,,3/10/2009,1/1/1900,,3/10/2009,98.67
3/11/2009,1.29,,3/11/2009,"1,168.0740",,3/11/2009,"20,618.2300",,3/11/2009,1.0117,,3/11/2009,0.6961,,3/11/2009,0.9870,,3/11/2009,0.6290,,3/11/2009,42.3300,,3/11/2009,0.0247,,3/11/2009,0.0671,,3/11/2009,909.25,,3/16/2009,173.95,,3/12/2009,1.32,,3/11/2009,0.459,,3/12/2009,87.66,,3/12/2009,87.66,,3/11/2009,1/1/1900,,3/11/2009,97.28
3/12/2009,1.28,,3/12/2009,"1,215.8690",,3/12/2009,"21,335.5200",,3/12/2009,1.0038,,3/12/2009,0.6807,,3/12/2009,0.9890,,3/12/2009,0.6320,,3/12/2009,47.0300,,3/12/2009,0.0148,,3/12/2009,0.0487,,3/12/2009,927.15,,3/17/2009,171.75,,3/13/2009,1.31563,,3/12/2009,0.461,,3/13/2009,87.428,,3/13/2009,87.428,,3/12/2009,1/1/1900,,3/12/2009,97.72
3/13/2009,1.27,,3/13/2009,"1,225.3160",,3/13/2009,"21,390.7000",,3/13/2009,0.9558,,3/13/2009,0.6633,,3/13/2009,0.9690,,3/13/2009,0.6240,,3/13/2009,46.2500,,3/13/2009,-0.0132,,3/13/2009,0.0393,,3/13/2009,929.73,,3/18/2009,170.9,,3/16/2009,1.30875,,3/13/2009,0.447,,3/16/2009,86.946,,3/16/2009,86.946,,3/13/2009,1/1/1900,,3/13/2009,97.95
3/16/2009,1.27,,3/16/2009,"1,221.0330",,3/16/2009,"21,605.3500",,3/16/2009,0.9964,,3/16/2009,0.6622,,3/16/2009,0.9870,,3/16/2009,0.6360,,3/16/2009,47.3500,,3/16/2009,0.0094,,3/16/2009,0.0262,,3/16/2009,923.07,,3/19/2009,179.8,,3/17/2009,1.29938,,3/16/2009,0.46,,3/17/2009,86.933,,3/17/2009,86.933,,3/16/2009,1/1/1900,,3/16/2009,98.18
3/17/2009,1.27,,3/17/2009,"1,260.2910",,3/17/2009,"22,051.2300",,3/17/2009,1.0290,,3/17/2009,0.6827,,3/17/2009,1.0130,,3/17/2009,0.6460,,3/17/2009,49.1600,,3/17/2009,0.0160,,3/17/2009,0.0367,,3/17/2009,915.2,,3/20/2009,178.75,,3/18/2009,1.2875,,3/17/2009,0.464,,3/18/2009,84.595,,3/18/2009,84.595,,3/17/2009,1/1/1900,,3/17/2009,98.6
3/18/2009,1.25,,3/18/2009,"1,286.6220",,3/18/2009,"22,230.9900",,3/18/2009,0.8102,,3/18/2009,0.5558,,3/18/2009,0.9630,,3/18/2009,0.6170,,3/18/2009,48.1400,,3/18/2009,-0.1528,,3/18/2009,-0.0612,,3/18/2009,942,,3/23/2009,183.2,,3/19/2009,1.22688,,3/18/2009,0.421,,3/19/2009,83.129,,3/19/2009,83.129,,3/18/2009,1/1/1900,,3/18/2009,96.23
3/19/2009,1.24,,3/19/2009,"1,269.9250",,3/19/2009,"22,393.2300",,3/19/2009,0.8587,,3/19/2009,0.5783,,3/19/2009,0.9910,,3/19/2009,0.6080,,3/19/2009,51.6100,,3/19/2009,-0.1323,,3/19/2009,-0.0297,,3/19/2009,959.85,,3/24/2009,179.85,,3/20/2009,1.22281,,3/19/2009,0.409,,3/20/2009,83.841,,3/20/2009,83.841,,3/19/2009,1/1/1900,,3/19/2009,94.52
