,USDCAD Curncy,S&P 500 Total Return Index,S&P/TSX Composite Total Return Index,USGG2YR Index,USGG12M Index,GCAN2YR Index,GCAN12M Index,CL1 Comdty,XAU Curncy,HG1 Comdty,US0003M Index,GCAN3M Index,DXY Curncy,USDJPY Curncy
2009-03-04,1.2731,1153.349,20096.43,0.9387,0.6621,0.973,0.659,45.38,906.5,168.55,1.27663,0.484,88.577,99.16
2009-03-05,1.2911,1104.376,19620.51,0.8829,0.6242,0.933,0.635,43.61,932.4,164.6,1.28375,0.461,89.105,98.07
2009-03-06,1.2872,1105.998,19529.46,0.947,0.6498,0.955,0.608,45.52,939.37,168.05,1.2925,0.448,88.512,98.26
2009-03-09,1.3012,1095.036,19470.04,0.9551,0.6703,0.956,0.602,47.07,922.35,162.95,1.3125,0.457,89.009,98.85
2009-03-10,1.279,1164.831,20277.62,1.0276,0.6784,0.985,0.618,45.71,898.15,167.45,1.33125,0.457,88.927,98.67
2009-03-11,1.2851,1168.074,20618.23,1.0117,0.6961,0.987,0.629,42.33,909.25,161.6,1.32594,0.459,87.868,97.28
2009-03-12,1.2778,1215.869,21335.52,1.0038,0.6807,0.989,0.632,47.03,927.15,161.75,1.32,0.461,87.66,97.72
2009-03-13,1.2718,1225.316,21390.7,0.9558,0.6633,0.969,0.624,46.25,929.73,165.85,1.31563,0.447,87.428,97.95
2009-03-16,1.2719,1221.033,21605.35,0.9964,0.6622,0.987,0.636,47.35,923.07,173.95,1.30875,0.46,86.946,98.18
2009-03-17,1.2701,1260.291,22051.23,1.029,0.6827,1.013,0.646,49.16,915.2,171.75,1.29938,0.464,86.933,98.6
2009-03-18,1.2467,1286.622,22230.99,0.8102,0.5558,0.963,0.617,48.14,942,170.9,1.2875,0.421,84.595,96.23
2009-03-19,1.2396,1269.925,22393.23,0.8587,0.5783,0.991,0.608,51.61,959.85,179.8,1.22688,0.409,83.129,94.52
2009-03-20,1.2407,1244.855,21919.94,0.8668,0.5834,1.007,0.6,52.07,952.23,178.75,1.22281,0.389,83.841,95.94
2009-03-23,1.2217,1333.207,23085.83,0.8913,0.5906,1.039,0.61,53.8,939.5,183.2,1.22219,0.385,83.426,96.95
2009-03-24,1.2321,1306.028,22807.03,0.9076,0.5936,1.101,0.62,53.98,925.75,179.85,1.22625,0.385,83.858,97.86
2009-03-25,1.2319,1318.611,22682.19,0.9541,0.5783,1.214,0.638,52.77,934.2,179.7,1.2275,0.405,83.808,97.54
